"kepid","kepoi_name","kepler_name","ra","ra_err","ra_str","dec","dec_err","dec_str","koi_gmag","koi_gmag_err","koi_rmag","koi_rmag_err","koi_imag","koi_imag_err","koi_zmag","koi_zmag_err","koi_jmag","koi_jmag_err","koi_hmag","koi_hmag_err","koi_kmag","koi_kmag_err","koi_kepmag","koi_kepmag_err","koi_delivname","koi_vet_stat","koi_quarters","koi_disposition","koi_pdisposition","koi_count","koi_num_transits","koi_max_sngle_ev","koi_max_mult_ev","koi_bin_oedp_sig","koi_limbdark_mod","koi_ldm_coeff4","koi_ldm_coeff3","koi_ldm_coeff2","koi_ldm_coeff1","koi_trans_mod","koi_model_snr","koi_model_dof","koi_model_chisq","koi_time0bk","koi_time0bk_err1","koi_time0bk_err2","koi_eccen","koi_eccen_err1","koi_eccen_err2","koi_longp","koi_longp_err1","koi_longp_err2","koi_prad","koi_prad_err1","koi_prad_err2","koi_sma","koi_sma_err1","koi_sma_err2","koi_impact","koi_impact_err1","koi_impact_err2","koi_duration","koi_duration_err1","koi_duration_err2","koi_ingress","koi_ingress_err1","koi_ingress_err2","koi_depth","koi_depth_err1","koi_depth_err2","koi_period","koi_period_err1","koi_period_err2","koi_ror","koi_ror_err1","koi_ror_err2","koi_dor","koi_dor_err1","koi_dor_err2","koi_incl","koi_incl_err1","koi_incl_err2","koi_teq","koi_teq_err1","koi_teq_err2","koi_steff","koi_steff_err1","koi_steff_err2","koi_slogg","koi_slogg_err1","koi_slogg_err2","koi_smet","koi_smet_err1","koi_smet_err2","koi_srad","koi_srad_err1","koi_srad_err2","koi_smass","koi_smass_err1","koi_smass_err2","koi_sage","koi_sage_err1","koi_sage_err2","koi_sparprov","koi_fwm_stat_sig","koi_fwm_sra","koi_fwm_sra_err","koi_fwm_sdec","koi_fwm_sdec_err","koi_fwm_srao","koi_fwm_srao_err","koi_fwm_sdeco","koi_fwm_sdeco_err","koi_fwm_prao","koi_fwm_prao_err","koi_fwm_pdeco","koi_fwm_pdeco_err","koi_dicco_mra","koi_dicco_mra_err","koi_dicco_mdec","koi_dicco_mdec_err","koi_dicco_msky","koi_dicco_msky_err","koi_dikco_mra","koi_dikco_mra_err","koi_dikco_mdec","koi_dikco_mdec_err","koi_dikco_msky","koi_dikco_msky_err","koi_comment","koi_vet_date","koi_tce_plnt_num","koi_tce_delivname","koi_datalink_dvs","koi_disp_prov","koi_parm_prov","koi_time0","koi_time0_err1","koi_time0_err2","koi_datalink_dvr","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_insol","koi_insol_err1","koi_insol_err2","koi_srho","koi_srho_err1","koi_srho_err2","koi_fittype","koi_score"
10811496,"K00753.01",NA,297.00482,0,"19h48m01.16s",48.134129,0,"+48d08m02.9s",15.943,NA,15.39,NA,15.22,NA,15.166,NA,14.254,0.028,13.9,0.033,13.826,0.058,15.436,NA,"q1_q17_dr25_koi","Done","11111101110111011000000000000000","FALSE POSITIVE","FALSE POSITIVE",1,56,37.159767,187.4491,0.6624,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.2711,0.3858,"Mandel and Agol (2002 ApJ 580 171)",76.3,NA,NA,175.850252,0.000581,-0.000581,0,NA,NA,NA,NA,NA,14.6,3.92,-1.31,0.1419,NA,NA,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,NA,NA,NA,10829,171,-171,19.89913995,1.494e-05,-1.494e-05,0.154046,5.034292,-0.042179,53.5,25.7,-25.7,88.96,NA,NA,638,NA,NA,5853,158,-176,4.544,0.044,-0.176,-0.18,0.3,-0.3,0.868,0.233,-0.078,0.961,0.11,-0.121,NA,NA,NA,"q1_q17_dr25_stellar",0.278,19.8003207,1.9e-06,48.13412,2e-05,-0.021,0.069,-0.038,0.071,7e-04,0.0024,6e-04,0.0034,-0.025,0.07,-0.034,0.07,0.042,0.072,0.002,0.071,-0.027,0.074,0.027,0.074,"DEEP_V_SHAPED",2017-08-31,1,"q1_q17_dr25_tce","010/010811/010811496/dv/kplr010811496-001-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2455008.85,0.000581,-0.000581,"010/010811/010811496/dv/kplr010811496-20160209194854_dvr.pdf",0,1,0,0,39.3,31.04,-10.49,7.29555,35.03293,-2.75453,"LS+MCMC",0
10848459,"K00754.01",NA,285.53461,0,"19h02m08.31s",48.28521,0,"+48d17m06.8s",16.1,NA,15.554,NA,15.382,NA,15.266,NA,14.326,0.035,13.911,0.042,13.809,0.048,15.597,NA,"q1_q17_dr25_koi","Done","11111110111011101000000000000000","FALSE POSITIVE","FALSE POSITIVE",1,621,39.06655,541.8951,0,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.2865,0.3556,"Mandel and Agol (2002 ApJ 580 171)",505.6,NA,NA,170.307565,0.000115,-0.000115,0,NA,NA,NA,NA,NA,33.46,8.5,-2.83,0.0267,NA,NA,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,NA,NA,NA,8079.2,12.8,-12.8,1.736952453,2.63e-07,-2.63e-07,0.387394,0.109232,-0.08495,3.278,0.136,-0.136,67.09,NA,NA,1395,NA,NA,5805,157,-174,4.564,0.053,-0.168,-0.52,0.3,-0.3,0.791,0.201,-0.067,0.836,0.093,-0.077,NA,NA,NA,"q1_q17_dr25_stellar",0,19.03563762,8.6e-07,48.2852105,7.4e-06,-0.111,0.031,0.002,0.027,0.00302,0.00057,-0.00142,0.00081,-0.249,0.072,0.147,0.078,0.289,0.079,-0.257,0.072,0.099,0.077,0.276,0.076,"MOD_ODDEVEN_DV---MOD_ODDEVEN_ALT---DEEP_V_SHAPED",2017-08-31,1,"q1_q17_dr25_tce","010/010848/010848459/dv/kplr010848459-001-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2455003.308,0.000115,-0.000115,"010/010848/010848459/dv/kplr010848459-20160209194854_dvr.pdf",0,1,0,0,891.96,668.95,-230.35,0.2208,0.00917,-0.01837,"LS+MCMC",0
10854555,"K00755.01","Kepler-664 b",288.75488,0,"19h15m01.17s",48.2262,0,"+48d13m34.3s",16.015,NA,15.468,NA,15.292,NA,15.241,NA,14.366,0.033,14.064,0.047,13.952,0.047,15.509,NA,"q1_q17_dr25_koi","Done","01111111111111111000000000000000","CONFIRMED","CANDIDATE",1,515,4.749945,33.1919,0.309,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.2844,0.3661,"Mandel and Agol (2002 ApJ 580 171)",40.9,NA,NA,171.59555,0.00113,-0.00113,0,NA,NA,NA,NA,NA,2.75,0.88,-0.35,0.0374,NA,NA,0.701,0.235,-0.478,1.6545,0.042,-0.042,NA,NA,NA,603.3,16.9,-16.9,2.525591777,3.761e-06,-3.761e-06,0.024064,0.003751,-0.001522,8.75,4,-4,85.41,NA,NA,1406,NA,NA,6031,169,-211,4.438,0.07,-0.21,0.07,0.25,-0.3,1.046,0.334,-0.133,1.095,0.151,-0.136,NA,NA,NA,"q1_q17_dr25_stellar",0.733,19.2503258,9.7e-06,48.22626,1e-04,-0.01,0.35,0.23,0.37,8e-05,2e-04,-7e-05,0.00022,0.03,0.19,-0.09,0.18,0.1,0.14,0.07,0.18,0.02,0.16,0.07,0.2,"NO_COMMENT",2017-08-31,1,"q1_q17_dr25_tce","010/010854/010854555/dv/kplr010854555-001-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2455004.596,0.00113,-0.00113,"010/010854/010854555/dv/kplr010854555-20160209194854_dvr.pdf",0,0,0,0,926.16,874.33,-314.24,1.98635,2.71141,-1.74541,"LS+MCMC",1
10872983,"K00756.01","Kepler-228 d",296.28613,0,"19h45m08.67s",48.22467,0,"+48d13m28.8s",16.234,NA,15.677,NA,15.492,NA,15.441,NA,14.528,0.029,14.113,0.039,14.132,0.072,15.714,NA,"q1_q17_dr25_koi","Done","01111101110111011000000000000000","CONFIRMED","CANDIDATE",3,95,9.046456,55.204865,0.0975,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.2889,0.3511,"Mandel and Agol (2002 ApJ 580 171)",66.5,NA,NA,171.20116,0.00141,-0.00141,0,NA,NA,NA,NA,NA,3.9,1.27,-0.42,0.0992,NA,NA,0.538,0.03,-0.428,4.5945,0.061,-0.061,NA,NA,NA,1517.5,24.2,-24.2,11.09432054,2.036e-05,-2.036e-05,0.036779,0.005115,-0.001065,16.36,8.1,-8.1,88.11,NA,NA,835,NA,NA,6046,189,-232,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,NA,NA,NA,"q1_q17_dr25_stellar",NA,19.7524061,6.1e-06,48.22471,6.5e-05,-0.12,0.22,0.14,0.24,4e-05,0.00034,NA,NA,0.04,0.12,-0.07,0.11,0.08,0.13,-0.02,0.13,-0.08,0.1,0.08,0.1,"NO_COMMENT",2017-08-31,1,"q1_q17_dr25_tce","010/010872/010872983/dv/kplr010872983-001-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2455004.201,0.00141,-0.00141,"010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf",0,0,0,0,114.81,112.85,-36.7,0.67324,0.33286,-0.38858,"LS+MCMC",1
10872983,"K00756.02","Kepler-228 c",296.28613,0,"19h45m08.67s",48.22467,0,"+48d13m28.8s",16.234,NA,15.677,NA,15.492,NA,15.441,NA,14.528,0.029,14.113,0.039,14.132,0.072,15.714,NA,"q1_q17_dr25_koi","Done","01111101110111011000000000000000","CONFIRMED","CANDIDATE",3,240,5.500643,33.546658,0.546,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.2889,0.3511,"Mandel and Agol (2002 ApJ 580 171)",40.2,NA,NA,172.97937,0.0019,-0.0019,0,NA,NA,NA,NA,NA,2.77,0.9,-0.3,0.0514,NA,NA,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,NA,NA,NA,686,18.7,-18.7,4.13443512,1.046e-05,-1.046e-05,0.026133,0.001968,-0.002055,6.96,2.8,-2.8,83.72,NA,NA,1160,NA,NA,6046,189,-232,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,NA,NA,NA,"q1_q17_dr25_stellar",NA,19.752413,1e-05,48.22458,0.00011,0.14,0.36,-0.32,0.4,-0.00016,0.00025,NA,NA,0.25,0.14,0.09,0.16,0.26,0.16,0.18,0.15,0.06,0.15,0.19,0.17,"NO_COMMENT",2017-08-31,2,"q1_q17_dr25_tce","010/010872/010872983/dv/kplr010872983-002-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2455005.979,0.0019,-0.0019,"010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf",0,0,0,0,427.65,420.33,-136.7,0.37377,0.74768,-0.26357,"LS+MCMC",1
9579641,"K00115.03",NA,287.88733,0,"19h11m32.96s",46.276241,0,"+46d16m34.5s",13.111,NA,12.732,NA,12.654,NA,12.648,NA,11.811,0.021,11.555,0.02,11.503,0.013,12.791,NA,"q1_q17_dr25_koi","Done","11111111111111111000000000000000","CANDIDATE","CANDIDATE",3,357,3.8943021,7.4337807,0.0228,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.2676,0.3928,"Mandel and Agol (2002 ApJ 580 171)",8.7,NA,NA,132.6624,0.011,-0.011,0,NA,NA,NA,NA,NA,0.55,0.08,-0.07,0.0437,NA,NA,0.624,0.037,-0.476,3.133,0.407,-0.407,NA,NA,NA,23.2,3.4,-3.4,3.43591631,4.729e-05,-4.729e-05,0.004612,0.000197,-0.000565,6.65,3,-3,84.62,NA,NA,1272,NA,NA,5779,104,-115,4.339,0.132,-0.108,-0.06,0.15,-0.15,1.087,0.157,-0.142,0.941,0.074,-0.054,NA,NA,NA,"q1_q17_dr25_stellar",0.858,19.192473,3.3e-05,46.27616,0.00034,-0.6,1.2,-0.3,1.2,1.2e-05,3.1e-05,-3e-06,3e-05,0.01,0.64,-0.05,0.95,0.05,0.93,-0.11,0.66,-0.3,1,0.3,1,"NO_COMMENT",2017-08-31,3,"q1_q17_dr25_tce","009/009579/009579641/dv/kplr009579641-003-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2454965.662,0.011,-0.011,"009/009579/009579641/dv/kplr009579641-20160209194854_dvr.pdf",0,0,0,0,617.61,251.11,-186.88,0.47024,1.06822,-0.44479,"LS+MCMC",0.871
10872983,"K00756.03","Kepler-228 b",296.28613,0,"19h45m08.67s",48.22467,0,"+48d13m28.8s",16.234,NA,15.677,NA,15.492,NA,15.441,NA,14.528,0.029,14.113,0.039,14.132,0.072,15.714,NA,"q1_q17_dr25_koi","Done","01111101110111011000000000000000","CONFIRMED","CANDIDATE",3,355,4.3886313,12.325094,0.4352,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.2889,0.3511,"Mandel and Agol (2002 ApJ 580 171)",15,NA,NA,179.55437,0.00461,-0.00461,0,NA,NA,NA,NA,NA,1.59,0.52,-0.17,0.0374,NA,NA,0.755,0.212,-0.523,2.429,0.165,-0.165,NA,NA,NA,226.5,16.8,-16.8,2.56658897,1.781e-05,-1.781e-05,0.014983,0.003935,-0.001417,5.54,2.7,-2.7,82.17,NA,NA,1360,NA,NA,6046,189,-232,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,NA,NA,NA,"q1_q17_dr25_stellar",NA,19.752412,2.8e-05,48.22476,3e-04,0.1,1,0.3,1.1,-4e-05,0.00021,NA,NA,-0.33,0.33,-0.3,0.21,0.45,0.28,-0.41,0.33,-0.29,0.21,0.5,0.3,"NO_COMMENT",2017-08-31,3,"q1_q17_dr25_tce","010/010872/010872983/dv/kplr010872983-003-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2455012.554,0.00461,-0.00461,"010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf",0,0,0,0,807.74,793.91,-258.2,0.48909,0.95593,-0.45121,"LS+MCMC",0.992
5436502,"K00834.01","Kepler-238 e",287.89713,0,"19h11m35.31s",40.637821,0,"+40d38m16.2s",15.6,NA,15.003,NA,14.862,NA,14.768,NA,13.894,0.025,13.545,0.027,13.512,0.039,15.084,NA,"q1_q17_dr25_koi","Done","11111111111111111000000000000000","CONFIRMED","CANDIDATE",5,57,33.295635,188.42673,0.6436,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.257,0.4213,"Mandel and Agol (2002 ApJ 580 171)",266.3,NA,NA,171.376107,0.000603,-0.000603,0,NA,NA,NA,NA,NA,7.89,1.38,-1.52,0.1658,NA,NA,0.008,0.169,-0.008,8.2183,0.021,-0.021,NA,NA,NA,3341.8,13.2,-13.2,23.65369415,1.748e-05,-1.748e-05,0.05219,0.000266,-9.8e-05,23.142,0.107,-0.107,89.98,NA,NA,731,NA,NA,5739,114,-103,4.191,0.162,-0.108,0.3,0.1,-0.15,1.384,0.242,-0.266,1.083,0.1,-0.075,NA,NA,NA,"q1_q17_dr25_stellar",0.032,19.1931416,1.3e-06,40.637849,1.4e-05,0.037,0.054,0.106,0.049,-6e-05,0.00025,-0.00023,0.00027,0.007,0.076,0.019,0.086,0.02,0.085,-0.034,0.078,0.061,0.094,0.07,0.09,"NO_COMMENT",2017-08-31,1,"q1_q17_dr25_tce","005/005436/005436502/dv/kplr005436502-001-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2455004.376,0.000603,-0.000603,"005/005436/005436502/dv/kplr005436502-20160209194854_dvr.pdf",0,0,0,0,67.65,33.37,-26.59,0.41907,0.00194,-0.02856,"LS+MCMC",0.999
5436502,"K00834.02","Kepler-238 d",287.89713,0,"19h11m35.31s",40.637821,0,"+40d38m16.2s",15.6,NA,15.003,NA,14.862,NA,14.768,NA,13.894,0.025,13.545,0.027,13.512,0.039,15.084,NA,"q1_q17_dr25_koi","Done","11111111111111111000000000000000","CONFIRMED","CANDIDATE",5,97,6.205785,34.323593,0.3752,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.257,0.4213,"Mandel and Agol (2002 ApJ 580 171)",49.1,NA,NA,140.32196,0.00275,-0.00275,0,NA,NA,NA,NA,NA,3.06,0.54,-0.58,0.1126,NA,NA,0.014,0.399,-0.014,6.7372,0.0875,-0.0875,NA,NA,NA,504.6,10.8,-10.8,13.23352214,4.503e-05,-4.503e-05,0.020278,0.000566,-0.000269,15.32,0.566,-0.566,89.95,NA,NA,888,NA,NA,5739,114,-103,4.191,0.162,-0.108,0.3,0.1,-0.15,1.384,0.242,-0.266,1.083,0.1,-0.075,NA,NA,NA,"q1_q17_dr25_stellar",0.055,19.1931523,7.1e-06,40.637812,7.2e-05,0.48,0.29,-0.03,0.26,-0.00023,0.00015,3e-05,0.00013,-0.26,0.24,-0.13,0.26,0.29,0.26,-0.31,0.25,-0.11,0.26,0.33,0.26,"NO_COMMENT",2017-08-31,2,"q1_q17_dr25_tce","005/005436/005436502/dv/kplr005436502-002-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2454973.322,0.00275,-0.00275,"005/005436/005436502/dv/kplr005436502-20160209194854_dvr.pdf",0,0,0,0,146.67,72.35,-57.65,0.3884,0.01434,-0.10358,"LS+MCMC",0.996
5436502,"K00834.03","Kepler-238 c",287.89713,0,"19h11m35.31s",40.637821,0,"+40d38m16.2s",15.6,NA,15.003,NA,14.862,NA,14.768,NA,13.894,0.025,13.545,0.027,13.512,0.039,15.084,NA,"q1_q17_dr25_koi","Done","11111111111111111000000000000000","CONFIRMED","CANDIDATE",5,203,4.266375,26.274458,0.7589,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.257,0.4213,"Mandel and Agol (2002 ApJ 580 171)",35.1,NA,NA,134.81656,0.00345,-0.00345,0,NA,NA,NA,NA,NA,2.32,0.4,-0.45,0.0676,NA,NA,0.235,0.204,-0.235,4.9843,0.0994,-0.0994,NA,NA,NA,285,8.6,-8.6,6.15560285,2.704e-05,-2.704e-05,0.015336,0.00045,-0.000362,9.34,1.2,-1.2,88.56,NA,NA,1146,NA,NA,5739,114,-103,4.191,0.162,-0.108,0.3,0.1,-0.15,1.384,0.242,-0.266,1.083,0.1,-0.075,NA,NA,NA,"q1_q17_dr25_stellar",0,19.193129,1e-05,40.63803,1e-04,-0.46,0.42,0.76,0.37,0.00013,0.00012,-2e-04,1e-04,-0.19,0.22,0.13,0.25,0.23,0.23,-0.22,0.22,0.18,0.25,0.28,0.23,"NO_COMMENT",2017-08-31,3,"q1_q17_dr25_tce","005/005436/005436502/dv/kplr005436502-003-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2454967.817,0.00345,-0.00345,"005/005436/005436502/dv/kplr005436502-20160209194854_dvr.pdf",0,0,0,0,406.94,200.73,-159.95,0.40662,0.05394,-0.1229,"LS+MCMC",0.997
5436502,"K00834.04","Kepler-238 b",287.89713,0,"19h11m35.31s",40.637821,0,"+40d38m16.2s",15.6,NA,15.003,NA,14.862,NA,14.768,NA,13.894,0.025,13.545,0.027,13.512,0.039,15.084,NA,"q1_q17_dr25_koi","Done","11111111111111111000000000000000","CONFIRMED","CANDIDATE",5,527,3.535499,14.88052,0.5003,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.257,0.4213,"Mandel and Agol (2002 ApJ 580 171)",19.9,NA,NA,134.17462,0.00398,-0.00398,0,NA,NA,NA,NA,NA,1.62,0.28,-0.32,0.0329,NA,NA,0.746,0.053,-0.521,3.388,0.106,-0.106,NA,NA,NA,115.9,6.4,-6.4,2.090811305,9.571e-06,-9.571e-06,0.010686,0.002185,-0.000966,3.32,1.5,-1.5,77.03,NA,NA,1642,NA,NA,5739,114,-103,4.191,0.162,-0.108,0.3,0.1,-0.15,1.384,0.242,-0.266,1.083,0.1,-0.075,NA,NA,NA,"q1_q17_dr25_stellar",0.007,19.193111,1.8e-05,40.63765,0.00018,-1.22,0.74,-0.61,0.65,0.000137,8.1e-05,7.2e-05,7.2e-05,-0.03,0.91,0.82,0.34,0.82,0.33,-0.06,0.4,0.85,0.3,0.85,0.3,"NO_COMMENT",2017-08-31,5,"q1_q17_dr25_tce","005/005436/005436502/dv/kplr005436502-005-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2454967.175,0.00398,-0.00398,"005/005436/005436502/dv/kplr005436502-20160209194854_dvr.pdf",0,0,0,0,1718.04,847.46,-675.28,0.1588,0.28474,-0.11107,"LS+MCMC",1
5436502,"K00834.05","Kepler-238 f",287.89713,0,"19h11m35.31s",40.637821,0,"+40d38m16.2s",15.6,NA,15.003,NA,14.862,NA,14.768,NA,13.894,0.025,13.545,0.027,13.512,0.039,15.084,NA,"q1_q17_dr25_koi","Done","11111111111111111000000000000000","CONFIRMED","CANDIDATE",5,22,5.1075315,15.157462,0.6433,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.257,0.4213,"Mandel and Agol (2002 ApJ 580 171)",19.4,NA,NA,178.5014,0.0103,-0.0103,0,NA,NA,NA,NA,NA,2.67,0.47,-0.51,0.2747,NA,NA,0.379,0.111,-0.378,7.159,0.247,-0.247,NA,NA,NA,370.3,20.1,-20.1,50.4467417,0.0006505,-0.0006505,0.01767,0.000622,-0.000853,50.9,18.4,-18.4,89.57,NA,NA,568,NA,NA,5739,114,-103,4.191,0.162,-0.108,0.3,0.1,-0.15,1.384,0.242,-0.266,1.083,0.1,-0.075,NA,NA,NA,"q1_q17_dr25_stellar",0.394,19.19315,1.6e-05,40.63793,0.00016,0.37,0.66,0.39,0.59,-0.00014,0.00027,-0.00014,0.00024,0.78,0.29,0.39,0.31,0.88,0.35,0.72,0.25,0.49,0.32,0.87,0.33,"NO_COMMENT",2017-08-31,4,"q1_q17_dr25_tce","005/005436/005436502/dv/kplr005436502-004-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2455011.501,0.0103,-0.0103,"005/005436/005436502/dv/kplr005436502-20160209194854_dvr.pdf",0,0,0,0,24.64,12.16,-9.68,0.97794,0.353,-0.25754,"LS+MCMC",0.989
9471974,"K00119.01","Kepler-108 b",294.55917,0,"19h38m14.20s",46.062328,0,"+46d03m44.4s",13.127,NA,12.528,NA,12.452,NA,12.313,NA,11.43,0.022,11.065,0.017,10.983,0.017,12.654,NA,"q1_q17_dr25_koi","Done","11111111111111111000000000000000","CONFIRMED","CANDIDATE",2,29,61.598824,250.00006,0.0115,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.257,0.4213,"Mandel and Agol (2002 ApJ 580 171)",355.7,NA,NA,141.911924,0.000569,-0.000569,0,NA,NA,NA,NA,NA,8.2,0.5,-0.55,0.2829,NA,NA,0.035,0.361,-0.035,11.3364,0.051,-0.051,NA,NA,NA,1646.2,5.4,-5.4,49.18394185,2.475e-05,-2.475e-05,0.036501,0.000754,-0.000244,34.34,0.638,-0.638,89.94,NA,NA,669,NA,NA,5626,89,-78,3.907,0.04,-0.036,0.36,0.1,-0.15,2.057,0.125,-0.138,1.247,0.082,-0.067,NA,NA,NA,"q1_q17_dr25_stellar",0,19.63728842,9.7e-07,46.06203,1.9e-05,0.391,0.036,-1.081,0.07,0.000243,6.6e-05,-0.00188,0.00012,0,0.18,-0.01,0.51,0.01,0.43,0.44,0.11,-0.167,0.1,0.47,0.1,"CENT_KIC_POS",2017-08-31,1,"q1_q17_dr25_tce","009/009471/009471974/dv/kplr009471974-001-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2454974.912,0.000569,-0.000569,"009/009471/009471974/dv/kplr009471974-20160209194854_dvr.pdf",0,0,0,0,47.4,9.4,-8.38,0.31666,0.00588,-0.07202,"LS+MCMC",0.959
5456651,"K00835.01","Kepler-239 b",294.20215,0,"19h36m48.52s",40.66341,0,"+40d39m48.3s",15.964,NA,15.137,NA,14.884,NA,14.742,NA,13.703,0.025,13.215,0.026,13.133,0.035,15.208,NA,"q1_q17_dr25_koi","Done","11111011101110111000000000000000","CONFIRMED","CANDIDATE",2,88,9.07897,39.560696,0.9555,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.1451,0.582,"Mandel and Agol (2002 ApJ 580 171)",48.9,NA,NA,180.93613,0.0013,-0.0013,0,NA,NA,NA,NA,NA,2.35,0.17,-0.08,0.0954,NA,NA,0.048,0.393,-0.048,2.9076,0.05,-0.05,NA,NA,NA,1037.3,23.9,-23.9,11.76307164,2.035e-05,-2.035e-05,0.028519,0.001069,-0.000443,31.76,1.5,-1.5,89.91,NA,NA,616,NA,NA,4959,99,NA,4.603,0.011,-0.06,0.16,0.15,-0.15,0.756,0.054,-0.027,0.849,0.025,-0.06,NA,NA,NA,"q1_q17_dr25_stellar",0.008,19.613471,7.5e-06,40.663412,7e-05,-0.21,0.31,0.01,0.25,-0.00062,0.00032,0.00023,0.00027,0.12,0.12,0.028,0.098,0.13,0.12,-0.22,0.13,-0.152,0.091,0.27,0.12,"CENT_KIC_POS",2017-08-31,1,"q1_q17_dr25_tce","005/005456/005456651/dv/kplr005456651-001-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2455013.936,0.0013,-0.0013,"005/005456/005456651/dv/kplr005456651-20160209194854_dvr.pdf",0,0,0,0,33.99,8.24,-4.84,4.37951,0.20356,-1.37436,"LS+MCMC",1
7907423,"K00899.03","Kepler-249 d",296.98505,0,"19h47m56.41s",43.65852,0,"+43d39m30.7s",16.847,NA,15.445,NA,14.543,NA,14.057,NA,12.836,0.022,12.15,0.02,11.966,0.021,15.234,NA,"q1_q17_dr25_koi","Done","11111111111111111000000000000000","CONFIRMED","CANDIDATE",3,82,6.217123,24.263742,0.781,"Claret (2011 A&A 529 75) ATLAS LS",0,0,0.366,0.3573,"Mandel and Agol (2002 ApJ 580 171)",30.9,NA,NA,147.38965,0.00229,-0.00229,0,NA,NA,NA,NA,NA,1.11,0.12,-0.16,0.0922,NA,NA,0.115,0.32,-0.115,2.4714,0.069,-0.069,NA,NA,NA,756.1,26.4,-26.4,15.36845737,4.067e-05,-4.067e-05,0.02471,0.000906,-6e-04,48.38,2.3,-2.3,89.86,NA,NA,332,NA,NA,3561,71,-89,4.855,0.055,-0.055,0,0.15,-0.15,0.411,0.045,-0.06,0.44,0.041,-0.076,NA,NA,NA,"q1_q17_dr25_stellar",0.002,19.799001,1.1e-05,43.65837,0.00012,-0.1,0.42,-0.56,0.42,0.00042,0.00033,0.00055,0.00033,-0.18,0.26,0.25,0.24,0.31,0.2,0.4,0.29,0.51,0.25,0.65,0.31,"CENT_KIC_POS",2017-08-31,3,"q1_q17_dr25_tce","007/007907/007907423/dv/kplr007907423-003-20160209194854_dvs.pdf","q1_q17_dr25_koi","q1_q17_dr25_koi",2454980.39,0.00229,-0.00229,"007/007907/007907423/dv/kplr007907423-20160209194854_dvr.pdf",0,0,0,0,2.86,0.95,-0.98,9.06854,0.4398,-3.46872,"LS+MCMC",0.998
